,Item_id,Price,Street,Neighborhood,Parking,Balconies,Size,Floors,Asset_classification,Ac,Furniture,Handicapped,Immediate,Floors_text,Street_id,Rooms,Floor,Shelter,On_pillars,Elevator,Storeroom,Lat,Long,City,City_code,Date_added,Date_of_entry,Neighborhood_id,Garden_size,Home_number,Agency,Images,Text,Asset_type,Broker,Accuracy,Date,Last_update,Valid,Build_year,Year,Distance_sea,Train,Age,Neighborhood_rank,Street_rank,Gush_rank,Helka_rank,Predicted,Difference
11,6x0dp1a8,"3,980,000 ₪",מורדי הגטאות,יד אליהו,1,2.0,127.0,4.0,3.0,1.0,0.0,1.0,0.0,4.0,2652.0,5.0,2.0,1.0,0.0,1.0,0.0,32.056397,34.78729,תל אביב יפו,5000,2023-06-05 22:25:54,08/06/2023,206.0,0.0,21.0,,[],"ללא תיווך. בניין בן 8 במיקום מצויין, שקט ומתפתח. קרוב לתחנת הרכבת והקו הסגול, דירה גדולה ומרווחת 115 מ""ר. 2 מרפסות, חניה פרטית בטאבו, ממ""ד.  סה""כ 127 מ""ר בנוי",דירה,False,100,2023-06-05,עודכן ב 03/07/2023,,1960,2023,2772,503,63,40263,45083,25350,27989,3640786,339214
12,z39mjzrm,"5,750,000 ₪",החשמונאים,"גני שרונה, קרית הממשלה",1,1.0,113.0,48.0,1.0,1.0,1.0,1.0,0.0,48.0,1107.0,5.0,35.0,1.0,0.0,1.0,0.0,32.068858,0.0,תל אביב יפו,5000,2018-11-29 14:01:36,19/12/2022,1462.0,0.0,100.0,יהונתן לוי,[],"בהזדמנות נדירה! בפרויקט היוקרה גינדי תל אביב הממוקם במרכז ת""א. 5 חד'  102 מ""ר + 12 מ""ר מרפסת שמש, קומה גבוהה מאד, נוף מערבי פתוח לים, חניה פרטית רק 5,750,000 ש""ח",דירה,True,90,2018-11-29,עודכן היום,,1954,2023,1308,1692,69,58990,55437,52156,47813,5051796,698204
13,5ena8mv2,"3,350,000 ₪","מח""ל",ניר אביב,1,2.0,108.0,14.0,2.0,1.0,0.0,1.0,0.0,14.0,2958.0,4.0,3.0,1.0,1.0,1.0,0.0,32.04898,0.0,תל אביב יפו,5000,2022-12-15 20:13:52,15/12/2022,1650.0,0.0,70.0,משה אקילוב,[],"דירת 4 חדרים בבניין המבוקש ביותר בשכונה, עסקה מצויינת במחיר מצויין! (ואולי טיפלה גמיש) אזור סופר מבוקש, שקט, עסקה פצצה!! דברו איתי מהר לפני שיעוף!!!",דירה,True,90,,,,1999,2023,13,5331,24,34552,27811,31625,30754,2963920,386080
14,2bqcbu5w,"2,620,000 ₪",שלמה המלך,הצפון הישן - צפון,ללא,0.0,45.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,710.0,2.0,0.0,0.0,1.0,0.0,0.0,32.084392,0.0,תל אביב יפו,5000,2021-10-31 20:42:49,לא צוין,1483.0,0.0,88.0,מאיה אפרים,[],"פינה שקטה ויפה בלב הצפון הישן!

דירת 2 חד' 45 מ""ר נטו רצפה!  תקרות גבוהות - 3 כיווני אוויר - מוארת ושקטה כמו בכפר!

פוטנציאל תמ""א ואפשרות חלוקה ל2.5/3 חד'

צרו קשר לפרטים נוספים ותיאום פגישה",דירה,True,90,,,,1960,2023,974,2198,63,59259,56976,60869,67961,3032322,-412322
15,sutbvyff,"2,680,000 ₪",וינגייט,יד אליהו,1,1.0,65.0,30.0,1.0,1.0,0.0,1.0,0.0,30.0,2639.0,2.0,15.0,1.0,0.0,1.0,0.0,32.060082,0.0,תל אביב יפו,5000,2022-07-14 11:53:03,30/01/2026,206.0,0.0,1.0,רן,[],"עסקה חמה!! עם חניה פרטית בטאבו!
בפרויקט The Upper house היוקרתי ביותר בשכונת יד אליהו הנמצא בתהליך בניה מתקדם מהצפוי- דירת 2 חדרים מהממת  בקומה 15 מתוך 30 בנויה 55 מ""ר + 10 מ""ר מרפסת שמש מפנקת וחניה פרטית בטאבו! מפרט גבוהה מאוד, כיוון דרום,  יציאה קלה לכבישים המהירים ומרחק הליכה קצר ממוקדי העניין. מחיר הכי אטרקטיבי בפרויקט! בבנייה מתקדמת כעת, נדרש לשלם 60% בחתימה, והיתרה במסירה. אהבתם? דברו איתי",דירה,True,90,,,,1951,2023,2879,1153,72,40263,49414,48578,45597,3041781,-361781
16,i6ap4kpl,"4,200,000 ₪",דיזנגוף,הצפון הישן - צפון,ללא,0.0,70.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,404.0,3.0,3.0,0.0,1.0,0.0,0.0,32.095389,34.776085,תל אביב יפו,5000,2023-06-12 13:48:14,29/06/2023,1483.0,0.0,275.0,,"['//img.yad2.co.il/Pic/202306/12/2_1/o/y2_1_08458_20230612173848.jpeg', '//img.yad2.co.il/Pic/202306/12/2_1/o/y2_2_03590_20230612173902.jpeg', '//img.yad2.co.il/Pic/202306/12/2_1/o/y2_3_05425_20230612173914.jpeg', '//img.yad2.co.il/Pic/202306/12/2_1/o/y2_4_04235_20230612173929.jpeg', '//img.yad2.co.il/Pic/202306/12/2_1/o/y2_5_07055_20230612173945.jpeg']","דירת 3 חדרים בצפון הישן של תל אביב
2 דקות הליכה מהנמל
5 דקות מחוף מציצים
דיזינגוף פינת ירמיהו
הדירה תחת חוזה שכירות עד סוף יולי 2023 עם כוונה להארכת חוזה
ללא תיווך",דירה,False,100,2023-06-12,עודכן ב 05/07/2023,,1935,2023,653,2299,88,59259,60714,72619,47449,4004286,195714
17,2vza9di1,"2,120,000 ₪",כוכבי יצחק,,ללא,0.0,60.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,2314.0,3.0,4.0,0.0,0.0,0.0,0.0,32.0484,0.0,תל אביב יפו,5000,2021-08-18 13:08:18,לא צוין,215.0,0.0,3.0,שירלי ורנר,[],"למכירה בבלעדיות בשכונת שפירא !
ברחוב כוכבי יצחק 3
דירת 3 חדרים
60 מ""ר
מסודרת ושמורה
קומה 4 מתוך 4
מעולה למגורים ולהשקעה
מזגנים בכל החדרים, דוד שמש
איזור מרכזי ומבוקש בקרבת מרכזי קניות, מוסדות חינוך, מרכזים קהילתיים, בתי כנסת, תחבורה ציבורית.
יציאה נגישה לכבישים ראשיים ונתיבי איילון",דירה,True,80,,,,1970,2023,3638,1202,53,33550,32437,32089,30004,2204466,-84466
18,3c3asny1,"5,290,000 ₪",שילה,הצפון החדש - דרום,1,1.0,92.0,7.0,1.0,1.0,0.0,1.0,0.0,7.0,1017.0,3.0,1.0,1.0,0.0,1.0,1.0,32.080742,0.0,תל אביב יפו,5000,2022-10-07 20:59:56,31/12/2024,1519.0,0.0,3.0,משה דמארי,[],"ברחוב שילה 8 דירה מיוחדת בקומה ה 1 עם 3 כיווני אויר עם  מאסטרים + חדר אורחים , סה""כ 2 אמבטיות סלון מרווח עם מרפסת לנוף פתוח  + חניה 1 מבטון!!!, בניה יוקרתית מפרט עשיר לקונה, אפשרות לעיצוב פנים ותכנון לפי בחירת הקונה, יזם אחראי עם המון ניסיון!!! היזם חברת ""הורייזון 38"" שסיימו את בניין הבוטיק רמז 26, ומבצעים את ""שילה 8"" בימים אלו, לפרטים נוספים ודירות אחרונות בפרויקט צרו קשר עימנו ה",דירה,True,90,,,,1965,2023,1384,1847,58,69705,65921,68200,69866,5881113,-591113
19,t2vs8kbp,"3,250,000 ₪",וולפסון,נווה שאנן,1,1.0,56.0,7.0,1.0,1.0,0.0,1.0,1.0,7.0,2255.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,תל אביב יפו,5000,2023-06-04 00:42:30,04/06/2023,307.0,0.0,57.0,,[],דירת בת 2.5 חדרים חדשה מקבלן. מוארת ופינתית,דירה,False,80,2023-06-04,עודכן ב 04/06/2023,,1967,2023,1483,1345,56,56024,57905,39173,34082,2452114,797886
20,qki8mtwz,"5,400,000 ₪",הנביאים,הצפון הישן - דרום,ללא,1.0,84.0,6.0,1.0,1.0,0.0,0.0,0.0,6.0,729.0,3.0,5.0,1.0,0.0,1.0,0.0,32.076071,0.0,תל אביב יפו,5000,2022-01-31 16:08:38,לא צוין,1461.0,0.0,15.0,תיווך שון,[],"בבניין שעובר הליך תמ״״א 38 עם אופי של שימור, במרכז העיר ,
כחלק מהתוספת בפרויקט מהיזם לפי חוק המכר .
מסירה משוערת עוד 3 שנים דירה 15
דירת 3 חדרים
פונה לעורף
בנוי : 76 מ״״ר
מרפסת :8 מ״״ר",דירה,True,90,,,,1945,2023,1262,1698,78,60846,71774,71774,69833,6014815,-614815
21,3hvqn4o1,"3,150,000 ₪","מח""ל",ניר אביב,1,1.0,96.0,9.0,3.0,1.0,0.0,1.0,0.0,9.0,2958.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,תל אביב יפו,5000,2023-06-09 10:17:06,09/06/2023,1650.0,0.0,78.0,,[],"דירה יפהפיה באמת 4 חדרים בשטח 95 מ""ר ומרפסת מקורה. יחידת הורים כולל חדר ארונות וחדר רחצה. חניה גדולה תת קרקעית ומחסן. בניין משנת 2000 מתוחזק היטב חלק מקומפלקס של שלושה בניינים. כיווני אוויר צפון ומזרח.  למכירה שלא דרך מתווכים בלבד",דירה,False,80,2023-06-09,עודכן ב 09/06/2023,,2012,2023,3183,815,11,34552,27811,31625,29368,2787625,362375
22,a9qbsdlb,"4,500,000 ₪",בית אל,נווה שרת,ללא,1.0,110.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,373.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,תל אביב יפו,5000,2023-07-02 10:18:02,02/07/2023,314.0,0.0,2.0,,[],"למכירה מפרטי דירת 4 חדרים, יפה ומרוותת, מרפסת שמש, מרחק הליכה מעתידים, 7 דקות ברכב מאוניברסיטת ת""א",דירה,False,80,2023-07-02,עודכן ב 04/07/2023,,1970,2023,5254,4917,53,38641,50000,28183,39017,3803387,696613
23,gimk65j4,"5,100,000 ₪",חסידי האומות,"מכללת תל אביב יפו, דקר",1,1.0,99.0,11.0,6.0,1.0,0.0,0.0,0.0,11.0,2148.0,4.0,8.0,1.0,0.0,1.0,1.0,32.042936,0.0,תל אביב יפו,5000,2022-08-09 13:52:39,לא צוין,496.0,0.0,22.0,HOME MARKET JAFFA,[],"בפרויקט ""יפו בשדרה"" בתכנון האדירכל אילן פיבקו.
דירת 4 חדרים יפיפייה ומוארת.
99 מ""ר + 12 מ""ר מרפסת, מטבח חדש ומאובזר, סוויטת הורים.
חניה תת קרקעית.
מיקום מנצח! מרחק קצר משוק הפשפשים, הנמל, יפו העתיקה ותחנת הרכבת הקלה החדשה",דירה,True,90,,,,2015,2023,556,3879,8,30693,37819,33813,40806,3738314,1361686
24,m42pc4sw,"2,190,000 ₪",פיקוס,"נווה גולן, יפו ג'",ללא,0.0,65.0,8.0,2.0,1.0,1.0,1.0,1.0,8.0,2023.0,3.0,4.0,0.0,1.0,1.0,0.0,32.035,34.751151,תל אביב יפו,5000,2023-03-12 12:33:29,12/03/2023,492.0,0.0,5.0,,"['//img.yad2.co.il/Pic/202303/12/2_1/o/y2_1_07777_20230312123215.jpeg', '//img.yad2.co.il/Pic/202303/12/2_1/o/y2_2_03047_20230312123223.jpeg', '//img.yad2.co.il/Pic/202303/12/2_1/o/y2_3_03557_20230312123228.jpeg', '//img.yad2.co.il/Pic/202303/12/2_1/o/y2_4_07177_20230312123235.jpeg', '//img.yad2.co.il/Pic/202303/12/2_1/o/y2_5_02728_20230312123239.jpeg']","למכירה דירה 3 חדרים + פינת אוכל, משופצת 2 שרותים 1 מקלחת,  3 מזגנים, דוד שמש חדש  ריהוט חלקי, נגיש למוסדות חינוך טיפת חלב תחבורה ציבורית 
רכבת קלה , סביבה ירוקה 3 כ""א מרחק הליכה לחוף יפו ובת ים קרוב לאיילון ולצומת  וולפסון גמיש במחיר",דירה,False,100,,,,1970,2023,281,2768,53,29829,36126,33352,26251,2247515,-57515
25,u7jsh094,"2,280,000 ₪",עירית,"נווה גולן, יפו ג'",ללא,0.0,65.0,8.0,2.0,1.0,0.0,1.0,1.0,8.0,2024.0,3.0,4.0,0.0,1.0,1.0,0.0,32.034823,34.750285,תל אביב יפו,5000,2023-03-04 20:21:46,30/04/2023,492.0,0.0,4.0,,"['//img.yad2.co.il/Pic/202303/04/2_1/o/y2_1_04456_20230304200843.jpeg', '//img.yad2.co.il/Pic/202303/04/2_1/o/y2_2_05230_20230304201043.jpeg', '//img.yad2.co.il/Pic/202303/04/2_1/o/y2_3_06896_20230304201222.jpeg', '//img.yad2.co.il/Pic/202303/04/2_1/o/y2_4_01541_20230304201357.jpeg', '//img.yad2.co.il/Pic/202303/04/2_1/o/y2_5_09296_20230304201406.jpeg']","בנין משופץ, 200 מ' לתחנת רכבת קלה. 500 מ' לחוף הים. חניה חופשית בחצר",דירה,False,100,,,,1960,2023,66,5391,63,29829,33897,33352,32063,2275720,4280
26,hhuabhzi,"3,140,000 ₪",איסרליש,"מונטיפיורי, הרכבת",1,1.0,60.0,6.0,3.0,1.0,0.0,1.0,0.0,6.0,1548.0,3.0,2.0,1.0,1.0,1.0,0.0,32.071321,0.0,תל אביב יפו,5000,2023-03-13 21:42:47,27/04/2023,485.0,0.0,14.0,אלטוס - חי,[],"למכירה בשכונת מונטיפיורי המבוקשת והמתפתחת בסמוך לרכבת הקלה, שרונה ועזריאלי. דירת 3 חדרים שקטה ונעימה, 60 מטר הכוללים 5 מטר מרפסת עורפית. חניה בטאבו. בניין מטופח עם מעלית. מרחק הליכה מגשר יהודית וכל הטוב של תל אביב. מושלמת למגורים והשקעה",דירה,True,90,,,,2007,2023,246,5839,16,48150,75714,75714,52667,3889575,-749575
27,9p4a6ieh,"2,400,000 ₪",גלעינית,"יפו ד', גבעת התמרים",1,1.0,67.0,5.0,2.0,1.0,0.0,0.0,0.0,5.0,3003.0,3.0,4.0,1.0,1.0,1.0,1.0,32.031899,34.753095,תל אביב יפו,5000,2023-06-01 22:54:50,07/06/2023,321.0,0.0,5.0,,['//img.yad2.co.il/Pic/202306/07/2_1/o/y2_2_07073_20230607225852.jpeg'],"במיקום טוב ושקט, למגורים או השקעה
נמצאת בתהליך פינוי בינוי (שלב מתקדם, אחרי חתימות, אישורים ותוכנית אדריכלית) במסגרתו תתקבל דירה בבניין חדש עם מרפסת, מעלית, ממ""ד, מחסן וחניה פרטית
כרגע, הדירה מושכרת ומניבה
מוארת ומאווררת, מזגנים בכל החדרים. דוד שמש. 
ממוקמת סמוך למחלף איילון צפון דרום ולבית החולים וולפסון
מתחת לבית: רכבת קלה, רכבת ואוטובוסים.
בסמוך: גינות ציבוריות, גנים, בתי ספר, מרכז קניות, מתנס",דירה,False,100,2023-06-01,עודכן ב 07/06/2023,,1962,2023,527,5443,61,34361,34920,36309,23957,2118402,281598
28,d871jtmz,"2,490,000 ₪",פיקוס,"נווה גולן, יפו ג'",ללא,0.0,102.0,12.0,2.0,1.0,1.0,1.0,0.0,12.0,2023.0,3.0,2.0,1.0,1.0,1.0,1.0,32.034945,34.751755,תל אביב יפו,5000,2023-05-17 11:01:12,17/05/2023,492.0,0.0,8.0,,[],"נכס מושלם להשקע /למגורים בטאבו בלב תל אביב מרחק הליכה לרכבת הקלה אוטובוסים גני ילדים בתי ספר מרכז קניות קופח?  ליציאות ,איילון דרום צפון 4 כיווני אוויר הנכס עבר שיפוץ יש בבנין מכון כושר  משותף לובי מרשים מצלמות במעגל סגור בבנין 2 מעליות אינסטלציה חדשה הכל מסודר ויפה חניות בשפע ללא תיווך הקודם זוכה",דירה,False,100,2023-05-17,עודכן ב 05/07/2023,,1968,2023,1379,2620,55,29829,36126,33352,27956,3078976,-588976
29,7u2fl1gy,"2,200,000 ₪",מחרוזת,"יפו ד', גבעת התמרים",ללא,1.0,72.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,3004.0,3.0,1.0,0.0,1.0,0.0,0.0,32.03413,0.0,תל אביב יפו,5000,2023-05-07 15:20:08,10/05/2023,321.0,0.0,13.0,מיכאל מנאשרוב,[],"דירה משופצת לחלוטין ,שיפוץ חדיש .הבניין הינו חלק מפרויקט פינוי בינוי במתחם רובינשטיין, במסגרתו תתקבל דירה בבניין חדש עם מרפסת ,מעלית, מחסן וחניה רגילה.
עסקה טובה במיוחד",דירה,True,90,2023-05-07,עודכן היום,,1974,2023,523,5179,49,34361,32786,36309,23068,2094155,105845
30,6wwly8k1,"2,700,000 ₪",ראשית חכמה,"גבעת הרצל, אזור המלאכה יפו",ללא,2.0,60.0,2.0,5.0,1.0,0.0,0.0,1.0,2.0,2379.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,תל אביב יפו,5000,2023-07-03 08:25:57,03/07/2023,847.0,0.0,7.0,,[],"דירת 2 חדרים ומרפסות גדולות , צנרת חדשה , מטבח ואמבטיה משופצים , קומה ראשנה כולל כניסה פרטית וחדר מדרגות פרטי",דירה,False,80,2023-07-03,עודכן ב 03/07/2023,,1950,2023,3916,3538,73,29873,48040,41102,28030,2443640,256360
31,mfdnjshn,"3,250,000 ₪",מטלון,נווה שאנן,1,1.0,52.0,6.0,1.0,1.0,0.0,1.0,0.0,6.0,2327.0,2.0,3.0,1.0,0.0,1.0,0.0,32.05756,0.0,תל אביב יפו,5000,2023-03-21 13:01:33,לא צוין,307.0,0.0,78.0,רוזיו נכסים,"['//img.yad2.co.il/Pic/202303/21/2_5/o/o2_5_1_07971_20230321130132.jpg', '//img.yad2.co.il/Pic/202303/21/2_5/o/o2_5_2_03502_20230321130132.jpg', '//img.yad2.co.il/Pic/202303/21/2_5/o/o2_5_3_01247_20230321130132.jpg', '//img.yad2.co.il/Pic/202303/21/2_5/o/o2_5_4_03997_20230321130132.jpg', '//img.yad2.co.il/Pic/202303/21/2_5/o/o2_5_5_02871_20230321130132.jpg']","ברחוב מטלון במזרח שכונת פלורנטין! דירת 2 חדרים חדשה בפרויקט איכותי חדש! 52 מ""ר + 10 מ""ר מרפסת שמש! חניה פרטית! מרחק פסיעה למדרחוב לוינסקי השוקק והקולינרי! אכלוס בקרוב מאוד! נכס 6166414",דירה,True,90,,,,1948,2023,1301,1602,75,56024,51744,39173,43550,2509901,740099
32,ybzmgzu9,"2,050,000 ₪",חיננית,"יפו ד', גבעת התמרים",ללא,0.0,60.0,4.0,3.0,1.0,0.0,0.0,1.0,4.0,3002.0,2.0,3.0,0.0,0.0,0.0,0.0,32.031871,0.0,תל אביב יפו,5000,2022-10-30 14:50:54,19/04/2023,321.0,0.0,4.0,איתי דוד,[],"בבלעדיות 
 רחוב חיננית 4
 דירת 2.5 חדרים 
 כ-60 מטר
 קומה 3 מתוך 4
 כיוונים: דר/מע
 חניה משותפת לדיירים
 אזור שקט 
 דוד שמש
מזגן חדש בדירה
 שמורה ומסודרת
בתהליך תמ״א מתקדם מאוד התמורה לדירה ממד, מרפסת, מעלית, שיפוץ וחזות הבניין!",דירה,True,90,,,,1960,2023,646,5337,63,34361,34328,36309,32000,2088241,-38241
